,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts,strategy_jdg
103,2017/10/30,14:39:54,321,31710071,4,3,5,3,CHECK,0,0,1,2,3,1509341984,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,4_3_5,s,60,s_s
4,2017/11/06,14:41:22,321,31710071,5,1,1,3,CHECK,0,0,1,2,3,1509946804,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_1,F*,60,F*_s
12,2017/11/06,14:41:44,321,31710071,5,1,2,5,CHECK,0,0,1,2,3,1509946883,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_2,n,60,n_s
18,2017/11/06,14:42:14,321,31710071,5,1,3,3,CHECK,0,0,1,2,3,1509946905,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_3,F*,60,F*_s
24,2017/11/06,14:42:27,321,31710071,5,1,4,3,CHECK,0,0,1,2,3,1509946934,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_4,n,60,n_s
30,2017/11/06,14:42:37,321,31710071,5,1,5,3,CHECK,0,0,1,2,3,1509946947,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_5,r,60,r_s
36,2017/11/06,14:43:05,321,31710071,5,2,1,3,CHECK,0,0,1,2,3,1509946959,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_1,r,60,r_s
42,2017/11/06,14:43:28,321,31710071,5,2,2,3,CHECK,0,0,1,2,3,1509946985,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_2,r,60,r_s
48,2017/11/06,14:43:37,321,31710071,5,2,3,3,CHECK,0,0,1,2,3,1509947008,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_3,n,60,n_s
54,2017/11/06,14:43:45,321,31710071,5,2,4,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_4,n,60,n_s
60,2017/11/06,14:44:08,321,31710071,5,2,5,3,CHECK,0,0,1,2,3,1509947025,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_5,n,60,n_s
68,2017/11/06,14:46:36,321,31710071,5,3,1,5,CHECK,0,0,1,2,3,1509947051,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_1,r,60,r_s
74,2017/11/06,14:47:06,321,31710071,5,3,2,3,CHECK,0,0,1,2,3,1509947210,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_2,n,60,n_s
80,2017/11/06,14:47:16,321,31710071,5,3,3,3,CHECK,0,0,1,2,3,1509947227,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_3,n,60,n_s
86,2017/11/06,14:47:36,321,31710071,5,3,4,3,CHECK,0,0,1,2,3,1509947236,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_4,n,60,n_s
92,2017/11/06,14:47:43,321,31710071,5,3,5,3,CHECK,0,0,1,2,3,1509947256,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_5,n,60,n_s
100,2017/10/09,15:04:29,321,31710061,2,1,1,3,CHECK,0,0,1,2,3,1507529057,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_1,n,45,n_s
107,2017/10/09,15:04:48,521,31710061,2,1,2,5,CHECK,0,0,1,2,5,1507529071,1,f,0,0,1,1,1,3,1,,,,,,,,,,,2_1_2,n,45,n_f
117,2017/10/09,15:05:06,321,31710061,2,1,3,5,CHECK,0,0,1,2,3,1507529096,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_3,F*,45,F*_s
122,2017/10/09,15:05:21,321,31710061,2,1,4,3,CHECK,0,0,1,2,3,1507529107,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,45,r_s
129,2017/10/09,15:05:36,321,31710061,2,1,5,5,CHECK,0,0,1,2,3,1507529122,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_5,F*,45,F*_s
136,2017/10/09,15:05:57,321,31710061,2,2,1,5,CHECK,0,0,1,2,3,1507529138,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_1,F*,45,F*_s
141,2017/10/09,15:06:09,321,31710061,2,2,2,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_2,F*,45,F*_s
148,2017/10/09,15:06:27,321,31710061,2,2,3,5,CHECK,0,0,1,2,3,1507529170,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,45,r_s
