,InputID,day,1_1,1_2,1_3,1_4,cluster0,2_1,2_2,2_3,2_4,3_1_x,cluster1,3_1_y,3_2,3_3,3_4,cluster2
11,31510074,6,F_S_R,F_x_x,x_x_x,x_x_x,1,F_S_R,F_S_x,F_x_x,F_S_x,F_x_R,1,F_x_R,F_x_x,x_x_x,F_S_x,1
12,72,6,F_S_R,x_x_x,F_x_x,F_S_x,1,F_x_x,F_S_R,x_x_x,F_S_x,x_x_R,0,x_x_R,F_x_x,x_x_x,F_S_x,0
13,31710065,6,F_S_R,F_S_x,F_x_x,F_S_x,1,F_S_x,F_S_x,F_x_x,x_x_x,x_x_R,0,x_x_R,x_x_x,F_x_x,x_x_x,0
14,31610044,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,x_x_R,0,x_x_R,F_S_x,x_x_x,x_S_x,0
15,31710167,6,F_S_R,F_S_x,F_x_x,x_x_x,1,F_S_x,F_S_R,x_x_x,x_x_x,x_S_R,0,x_S_R,x_x_x,x_x_x,x_x_x,0
16,31610028,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_S_x,x_x_R,2,x_x_R,F_x_x,x_x_x,F_x_x,0
17,31610035,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,x_x_R,0,x_x_R,x_x_x,x_x_x,x_x_x,0
18,31610052,6,F_S_R,F_S_x,x_x_x,x_x_x,1,F_S_x,x_S_x,F_x_x,F_S_x,x_x_R,0,x_x_R,x_x_x,x_x_x,x_x_x,0
19,s31710137,6,F_S_x,F_S_x,F_x_x,x_S_x,0,F_S_x,F_S_x,F_x_x,F_x_x,x_x_R,0,x_x_R,x_S_x,x_x_x,x_S_x,0
20,31510156,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_R,F_x_x,F_S_x,F_x_R,1,F_x_R,F_x_x,x_S_x,x_x_x,1
21,31610135,6,x_x_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_x,F_x_x,F_S_x,F_x_x,1,F_x_x,x_S_x,F_x_x,x_x_x,0
22,31510062,6,F_S_x,F_S_x,x_x_x,F_x_x,2,F_S_x,F_x_x,x_x_x,F_S_x,x_x_x,1,x_x_x,F_x_x,x_x_x,F_x_x,1
23,31510180,6,x_S_R,F_S_x,x_x_x,F_x_x,1,F_S_x,F_S_R,x_S_x,F_S_x,x_S_x,1,x_S_x,F_x_x,x_x_x,x_S_x,1
24,31710150,6,F_S_R,F_S_x,x_x_x,F_x_x,1,F_S_x,F_S_x,F_x_x,F_S_x,F_x_R,1,F_x_R,F_S_R,x_x_x,F_x_x,1
25,31710148,6,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_R,F_S_x,F_x_x,F_S_x,F_x_R,1,F_x_R,F_S_x,x_x_x,x_x_x,2
26,31610158,6,F_S_R,x_x_x,F_x_x,F_S_x,1,x_x_x,F_x_x,x_x_x,F_x_x,x_x_R,0,x_x_R,F_S_x,x_x_x,F_S_x,0
27,31610037,6,F_S_x,F_S_R,x_x_x,F_S_x,0,F_S_x,F_S_R,F_x_x,F_x_x,F_x_x,0,F_x_x,F_x_x,x_S_x,x_S_x,1
28,s31710105,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_R,F_x_x,F_S_x,F_x_x,0,F_x_x,x_x_x,x_x_x,x_x_x,2
29,31610121,6,F_S_x,F_S_x,F_x_x,F_x_x,2,F_S_x,F_S_x,F_x_x,x_S_x,x_S_R,0,x_S_R,F_x_x,x_x_x,x_S_x,0
30,s31710111,6,F_S_x,F_S_x,x_x_x,F_x_x,2,F_S_x,x_x_x,x_x_x,x_S_x,x_S_x,1,x_S_x,F_x_x,x_x_x,F_x_x,1
31,31710145,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_x,x_x_x,F_S_x,x_S_R,2,x_S_R,x_S_x,x_x_x,F_x_x,0
32,31510058,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_x_x,F_S_x,x_S_x,x_S_x,x_x_x,1,x_x_x,x_S_x,x_x_x,x_x_x,2
33,31710046,6,F_S_x,F_S_x,F_x_x,F_S_x,0,x_x_R,x_S_x,x_x_x,x_S_x,x_x_R,2,x_x_R,x_S_x,x_S_x,x_S_x,0
34,31710112,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_S_x,x_x_R,2,x_x_R,F_S_x,F_x_x,x_S_x,0
35,31710106,6,x_x_x,F_S_x,F_x_x,F_S_R,2,F_S_x,x_x_x,x_x_x,x_S_x,x_x_x,1,x_x_x,x_x_x,x_x_x,F_S_x,2
36,s31710042,6,x_S_x,F_S_x,x_x_x,F_S_x,0,x_x_x,F_S_x,x_x_x,F_S_x,F_x_R,1,F_x_R,x_S_x,x_x_x,x_S_x,2
37,31710129,6,F_S_x,F_S_x,x_x_x,F_x_x,2,F_S_x,F_S_x,F_x_x,F_S_x,x_x_x,1,x_x_x,F_S_x,x_x_x,x_x_x,2
38,31510147,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_x_x,F_S_x,x_x_x,F_S_x,x_x_x,1,x_x_x,x_S_x,x_x_x,x_x_x,2
39,31710096,6,F_S_x,F_S_x,x_x_x,F_S_x,0,F_S_x,x_x_x,F_x_x,x_S_x,x_S_x,1,x_S_x,x_S_x,x_x_x,x_S_x,2
40,31710101,6,F_S_x,F_S_x,x_S_x,F_S_x,0,F_S_x,F_S_x,F_x_x,F_S_x,x_x_R,0,x_x_R,F_x_x,x_x_x,F_x_x,0
