,InputID,day,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R,cluster0,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R,cluster1,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R,cluster2
15,31710167,5,x,x,x,F,S,R,F,S,R,F,x,R,F,S,R,3,F,x,x,x,x,R,x,x,x,x,x,x,x,x,R,7,x,x,x,x,S,R,x,x,R,x,x,x,x,x,R,3
16,31510074,5,F,S,x,F,S,x,F,S,x,F,S,R,F,S,R,2,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,4,x,x,R,F,x,R,F,x,R,F,x,R,F,x,R,6
17,72,5,F,S,x,F,S,R,F,x,R,F,S,R,F,S,R,3,F,x,R,F,S,R,F,S,R,F,S,R,F,S,R,4,x,x,R,x,x,R,x,x,R,x,S,R,x,S,R,6
18,31710150,5,F,S,x,F,S,x,F,S,R,F,S,x,F,S,R,2,F,S,x,F,x,R,F,S,R,F,S,x,F,S,x,4,x,S,x,x,S,R,x,S,R,x,S,R,x,x,R,2
19,31710148,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,S,x,x,x,R,x,x,R,x,x,R,x,x,x,4
20,31510058,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,x,x,R,x,S,R,x,S,R,x,S,R,F,S,x,8,x,S,x,x,S,R,x,S,R,x,S,R,x,S,R,2
21,31710046,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,x,x,S,x,F,S,x,3,x,x,R,x,S,R,x,x,R,x,S,R,x,S,R,6
22,31710096,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,x,S,x,F,S,x,x,S,x,F,x,x,1,x,S,x,x,S,x,x,S,x,x,S,x,x,S,x,0
23,31610075,5,F,S,R,F,x,R,F,S,R,F,S,R,F,S,R,3,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,4,x,S,R,x,x,R,x,S,R,x,S,R,x,S,R,6
24,31710002,5,F,S,x,F,S,x,F,S,x,F,S,x,x,x,x,2,x,S,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,S,x,x,S,x,0
25,31610052,5,F,S,x,F,S,R,F,S,R,F,S,R,F,S,R,3,F,S,R,F,S,R,F,S,R,F,S,x,F,S,x,3,x,S,R,x,S,R,x,S,R,x,S,R,x,S,R,6
26,31710016,5,F,S,x,F,S,x,F,S,x,F,S,x,F,x,x,5,x,x,x,F,x,x,F,S,x,F,S,x,F,S,x,1,x,x,x,x,x,R,x,x,x,x,x,R,x,x,R,2
27,31610035,5,F,x,x,F,x,x,F,S,x,F,S,x,F,S,x,1,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,x,R,x,x,R,x,x,R,x,x,R,x,x,R,6
28,31510156,5,F,S,x,F,S,x,F,S,x,x,S,x,F,S,x,2,x,x,R,F,S,R,x,x,x,F,S,x,F,S,x,5,x,S,x,x,S,R,x,S,R,x,S,R,x,S,R,2
29,31610025,5,F,S,R,F,S,R,F,S,R,F,S,R,x,S,R,3,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,4,x,S,x,x,S,R,x,S,R,x,S,R,x,S,R,2
30,s31710105,5,F,S,x,F,S,x,x,x,x,F,S,x,F,S,x,2,x,S,x,F,S,x,F,S,x,F,S,x,F,S,x,1,F,x,R,x,x,R,x,S,x,x,S,x,x,S,R,5
31,31710106,5,x,x,x,x,x,x,x,x,R,x,x,R,x,x,R,0,x,x,x,x,x,R,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,R,x,x,R,x,x,R,x,x,R,2
32,s31710125,5,x,x,x,F,S,x,F,S,x,F,S,x,F,x,x,5,x,S,R,F,x,x,F,S,x,F,x,x,F,S,x,9,x,S,x,x,x,R,x,S,R,x,S,R,x,S,R,2
33,31710145,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,x,S,x,F,S,x,F,S,x,F,S,R,F,S,x,1,x,S,R,x,S,R,x,x,R,x,S,R,x,S,R,6
34,31710117,5,F,S,x,F,x,x,F,S,x,F,S,x,x,x,x,1,F,x,x,F,S,x,F,S,x,F,S,x,x,S,x,1,x,x,x,x,x,R,x,x,R,x,x,R,x,x,x,4
35,3161097,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,x,x,x,x,x,x,x,x,x,x,x,R,x,x,x,7
36,s31710111,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,R,F,S,x,F,S,x,F,S,x,F,S,x,3,x,x,x,x,x,R,x,S,R,x,x,x,x,S,x,4
37,31410123,5,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,x,F,S,R,F,S,x,3,x,S,x,x,S,x,x,S,R,x,S,R,x,S,R,3
38,s31710137,5,x,S,R,F,S,x,F,S,x,F,S,x,F,S,x,7,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,x,x,x,S,x,x,S,R,x,S,x,x,x,x,0
39,31710143,5,x,x,x,F,S,x,F,S,x,F,S,x,F,S,x,2,x,x,x,x,x,x,x,x,R,x,x,x,x,x,R,6,x,x,R,x,x,x,x,x,x,x,x,R,x,x,x,1
40,31510173,5,F,S,x,F,S,x,F,S,x,x,x,x,F,S,x,2,x,S,x,F,x,x,F,S,x,F,S,x,F,S,x,1,x,S,x,x,S,x,x,S,x,x,S,x,x,x,x,0
41,31510062,5,F,S,x,F,x,x,F,S,x,F,x,x,F,x,x,1,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,3,x,S,x,x,x,R,x,S,R,x,S,R,x,S,R,2
42,31710165,5,F,S,x,F,x,x,F,S,x,F,S,x,F,x,x,1,F,S,x,F,S,R,x,S,x,F,S,x,F,S,x,2,x,S,x,x,S,x,x,S,R,x,S,x,x,x,x,0
43,31710156,5,x,x,x,x,x,R,x,x,R,x,x,R,F,S,x,4,x,x,R,x,S,R,F,S,x,x,x,x,x,x,x,5,x,x,R,x,x,R,x,x,R,x,x,R,x,x,R,6
44,31710086,5,F,S,x,x,x,R,x,S,R,x,S,R,x,S,R,4,F,S,x,F,S,R,x,S,R,x,S,R,x,S,R,0,x,S,R,x,S,R,x,S,R,x,S,R,x,S,R,6
45,31610121,5,F,S,x,F,x,x,F,S,x,F,S,x,F,S,x,1,F,x,x,F,x,x,F,S,x,F,S,x,F,S,x,1,x,S,x,x,S,x,x,S,x,x,S,R,x,S,x,7
46,31710074,5,x,x,x,x,x,R,x,x,R,x,x,R,x,x,R,4,x,x,R,x,x,R,x,x,R,x,x,R,x,x,x,8,x,x,R,x,S,R,x,S,R,x,S,R,x,S,R,6
47,31710042,5,F,S,x,F,S,x,F,S,x,F,S,x,x,x,x,2,x,x,x,x,S,x,x,x,x,x,x,x,F,S,x,1,x,S,x,F,x,R,x,x,x,F,x,x,x,x,x,0
