"InputID","day","1_1","1_2","1_3","1_4","1_5","2_1","2_2","2_3","2_4","2_5","3_1","3_2","3_3","3_4","3_5"
"31710148",2,"F_S_x","F_S_x","F_S_x","x_x_x","F_S_x","x_x_R","F_S_R","F_S_x","F_S_R","F_S_R","F_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"31510058",2,"F_S_x","F_S_x","x_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_x","F_S_x","x_x_x","F_x_R","F_x_R","x_x_R","F_x_R"
"31710046",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_R","x_x_R","x_x_R","x_x_R","x_x_R","x_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"31610075",2,"F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","x_x_R","x_x_x","x_x_R","x_x_R"
"31610135",2,"F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","F_S_x","F_S_x","F_S_R","F_S_x","F_x_R","F_x_x","F_x_R","x_x_R","F_x_R"
"31610001",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_x","F_S_R","F_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"31510156",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
"31610025",2,"F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"s31610023",2,"x_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","x_S_R","x_S_R","x_S_R","x_S_R"
"31710106",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_x","F_S_x","F_S_R","x_S_x","F_S_R","x_x_R","F_x_R","F_x_R","F_x_x","x_x_R"
"s31710125",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_x","F_S_R","F_S_R","F_S_R","x_S_x","x_x_R","x_x_R","x_x_R","x_x_R"
"31610097",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_R","x_S_x","x_S_R","x_S_x","x_S_R"
"314110123",2,"F_S_x","x_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"31510147",2,"F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_x_R","x_x_x","F_x_R","F_x_R","F_x_R"
"s3171037",2,"x_S_x","x_S_x","F_S_x","F_S_x","x_S_x","F_x_x","x_S_R","F_S_R","x_S_R","F_S_x","x_x_x","F_x_R","x_x_R","F_x_R","x_x_R"
"31710156",2,"F_S_x","x_x_x","F_S_x","F_S_x","F_S_x","x_x_x","F_S_x","F_S_R","x_x_R","x_x_x","F_x_x","F_x_x","F_x_R","F_x_R","F_x_R"
"31610121",2,"F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","x_x_R","x_x_R","x_x_R","x_x_R"
"31710074",2,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","F_S_x","F_S_x","F_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
