"InputID","day","1_1","1_2","1_3","1_4","2_1","2_2","2_3","2_4","3_1","3_2","3_3","3_4"
"31410170",1,"F_S_R","F_S_x","F_x_x","F_S_x","F_S_R","F_S_R","F_x_x","F_S_R","F_x_R","x_S_x","x_x_x","x_x_x"
"31610124",1,"F_S_R","F_S_x","F_x_x","F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","x_x_x","x_x_x","x_S_x","F_x_x"
"31610007",1,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_x","F_x_x","F_x_x","F_x_x"
"31510147",1,"F_S_x","F_S_x","x_x_x","F_x_x","F_S_R","F_x_x","F_x_x","x_S_x","x_x_x","x_x_x","F_x_x","x_S_x"
"31610001",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_x_x","F_x_x","F_x_x","x_x_x","x_x_x"
"31710002",1,"x_x_R","F_S_x","F_x_x","F_S_x","F_S_R","x_S_R","F_x_x","F_S_x","x_x_R","F_x_x","x_x_x","F_S_x"
"31710096",1,"F_S_x","F_x_x","F_x_x","F_x_x","F_S_R","F_S_x","x_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_x_x"
"31610079",1,"x_S_R","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_S_R","x_x_x","x_x_x","x_x_x"
"31710101",1,"x_S_R","F_x_x","x_x_x","F_S_x","F_S_R","x_x_x","F_x_x","F_S_R","F_x_x","F_x_x","x_x_x","F_x_x"
"31510134",1,"F_S_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_S_x"
"31610097",1,"F_x_x","F_S_x","F_x_x","F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","x_x_x","x_S_x","x_x_x","x_x_x"
"31410066",1,"x_S_x","F_S_x","F_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","F_x_x","x_x_x","x_x_x","F_S_x"
