,郡１,群２,観測値１,観測値２,p値
145,0_0_1,0_1_0,2_1,2_2,0.3333333333333333
146,0_0_1,0_1_0,2_2,2_3,1.0
147,0_0_1,0_1_0,2_3,2_4,0.4285714285714286
148,0_0_1,0_1_0,2_4,2_5,1.0
149,0_0_1,0_1_0,2_5,3_1,1.0
150,0_0_1,0_1_0,3_1,3_2,0.11532103917081706
151,0_0_1,0_1_0,3_2,3_3,1.0
152,0_0_1,0_1_0,3_3,3_4,0.7246718576195773
153,0_0_1,0_1_0,3_4,3_5,1.0
154,0_1_0,0_1_1,1_1,1_2,1.0
155,0_1_0,0_1_1,1_2,1_3,1.0
156,0_1_0,0_1_1,1_3,1_4,0.47826086956521746
157,0_1_0,0_1_1,1_4,1_5,0.4714285714285714
158,0_1_0,0_1_1,1_5,2_1,0.3833333333333334
159,0_1_0,0_1_1,2_1,2_2,0.4339622641509434
160,0_1_0,0_1_1,2_2,2_3,1.0
161,0_1_0,0_1_1,2_3,2_4,1.0
162,0_1_0,0_1_1,2_4,2_5,1.0
163,0_1_0,0_1_1,2_5,3_1,0.02565186751233263
164,0_1_0,0_1_1,3_1,3_2,0.00011643559025440841
165,0_1_0,0_1_1,3_2,3_3,1.0
166,0_1_0,0_1_1,3_3,3_4,1.0
167,0_1_0,0_1_1,3_4,3_5,1.0
168,0_1_1,1_0_0,1_1,1_2,0.45375724186409794
169,0_1_1,1_0_0,1_2,1_3,1.0
170,0_1_1,1_0_0,1_3,1_4,0.15363303106309087
171,0_1_1,1_0_0,1_4,1_5,0.3430803391530037
172,0_1_1,1_0_0,1_5,2_1,0.29605184548400265
173,0_1_1,1_0_0,2_1,2_2,0.3256301138792401
174,0_1_1,1_0_0,2_2,2_3,0.7337032962020003
175,0_1_1,1_0_0,2_3,2_4,1.0
176,0_1_1,1_0_0,2_4,2_5,1.0
177,0_1_1,1_0_0,2_5,3_1,0.015901138363600804
178,0_1_1,1_0_0,3_1,3_2,0.008249721293199553
179,0_1_1,1_0_0,3_2,3_3,1.0
180,0_1_1,1_0_0,3_3,3_4,1.0
181,0_1_1,1_0_0,3_4,3_5,1.0
182,1_0_0,1_0_1,1_1,1_2,0.4444444444444444
183,1_0_0,1_0_1,1_2,1_3,1.0
184,1_0_0,1_0_1,1_3,1_4,0.3
185,1_0_0,1_0_1,1_4,1_5,1.0
186,1_0_0,1_0_1,1_5,2_1,0.5151515151515151
187,1_0_0,1_0_1,2_1,2_2,0.5151515151515152
188,1_0_0,1_0_1,2_2,2_3,1.0
189,1_0_0,1_0_1,2_3,2_4,1.0
190,1_0_0,1_0_1,2_4,2_5,1.0
191,1_0_0,1_0_1,2_5,3_1,1.0
192,1_0_0,1_0_1,3_1,3_2,1.0
193,1_0_0,1_0_1,3_2,3_3,1.0
194,1_0_0,1_0_1,3_3,3_4,1.0
195,1_0_0,1_0_1,3_4,3_5,1.0
