,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts
1780,2017/10/16,14:53:38,143,31610007,3,3,2,3,CHECK,0,0,3,4,1,1508133194,1,f,0,0,1,0,1,2,1,,,,,,,,,,,3_3_2,n,45
1794,2017/10/16,14:54:08,521,31610007,3,3,3,3,CHECK,0,0,1,2,5,1508133230,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,3_3_3,r,45
1826,2017/10/16,14:54:53,321,31610007,3,3,4,3,CHECK,0,0,1,2,3,1508133277,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3_4,s,45
1831,2017/10/16,14:55:06,321,31610007,3,3,5,3,CHECK,0,0,1,2,3,1508133294,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3_5,r,45
2489,2017/10/30,14:41:37,321,31610007,4,1,1,3,CHECK,0,0,1,2,3,1509342072,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,45
2495,2017/10/30,14:41:48,321,31610007,4,1,2,3,CHECK,0,0,1,2,3,1509342098,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,45
2501,2017/10/30,14:41:54,321,31610007,4,1,3,3,CHECK,0,0,1,2,3,1509342109,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_3,F*,45
2507,2017/10/30,14:42:03,321,31610007,4,1,4,3,CHECK,0,0,1,2,3,1509342115,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_4,F*,45
2513,2017/10/30,14:42:12,321,31610007,4,1,5,3,CHECK,0,0,1,2,3,1509342124,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,45
2519,2017/10/30,14:42:30,321,31610007,4,2,1,3,CHECK,0,0,1,2,3,1509342134,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_1,F*,45
2525,2017/10/30,14:42:42,321,31610007,4,2,2,3,CHECK,0,0,1,2,3,1509342151,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,45
2531,2017/10/30,14:42:53,321,31610007,4,2,3,3,CHECK,0,0,1,2,3,1509342162,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_3,F*,45
2537,2017/10/30,14:43:05,321,31610007,4,2,4,3,CHECK,0,0,1,2,3,1509342174,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,45
2543,2017/10/30,14:46:17,321,31610007,4,2,5,3,CHECK,0,0,1,2,3,1509342368,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_5,F*,45
2549,2017/10/30,14:46:32,534,31610007,4,3,1,3,CHECK,0,0,4,3,5,1509342380,1,f,0,0,1,1,1,3,1,,,,,,,,,,,4_3_1,n,45
2658,2017/10/30,14:49:06,543,31610007,4,3,2,5,CHECK,0,0,3,4,5,1509342533,1,f,0,0,1,1,1,3,1,,,,,,,,,,,4_3_2,n,45
2692,2017/10/30,14:50:11,413,31610007,4,3,3,5,CHECK,0,0,3,1,4,1509342576,1,f,0,0,1,0,1,2,1,,,,,,,,,,,4_3_3,n,45
2711,2017/10/30,14:50:34,345,31610007,4,3,4,3,CHECK,0,0,5,4,3,1509342623,1,f,0,0,1,1,1,3,1,,,,,,,,,,,4_3_4,n,45
2723,2017/10/30,14:50:53,325,31610007,4,3,5,3,CHECK,0,0,5,2,3,1509342641,1,f,0,0,1,0,0,1,1,,,,,,,,,,,4_3_5,n,45
1051,2017/10/09,14:58:57,321,31210101,2,1,1,7,CHECK,0,0,1,2,3,1507528706,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_1,r,55
1060,2017/10/09,14:59:13,321,31210101,2,1,2,7,CHECK,0,0,1,2,3,1507528738,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_2,n,55
1067,2017/10/09,14:59:27,321,31210101,2,1,3,5,CHECK,0,0,1,2,3,1507528754,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_3,n,55
1072,2017/10/09,14:59:42,321,31210101,2,1,4,3,CHECK,0,0,1,2,3,1507528768,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,55
1081,2017/10/09,15:00:00,321,31210101,2,1,5,7,CHECK,0,0,1,2,3,1507528783,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,55
1088,2017/10/09,15:00:32,321,31210101,2,2,1,5,CHECK,0,0,1,2,3,1507528808,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,55
1093,2017/10/09,15:00:42,321,31210101,2,2,2,3,CHECK,0,0,1,2,3,1507528833,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_2,F*,55
1098,2017/10/09,15:00:53,321,31210101,2,2,3,3,CHECK,0,0,1,2,3,1507528843,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2_3,n,55
1103,2017/10/09,15:01:10,321,31210101,2,2,4,3,CHECK,0,0,1,2,3,1507528853,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,55
1110,2017/10/09,15:01:30,321,31210101,2,2,5,5,CHECK,0,0,1,2,3,1507528871,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,55
1897,2017/10/16,14:46:42,326,31210101,3,1,1,7,CHECK,0,0,6,2,3,1508132781,1,f,1,1,1,1,0,4,1,,,,,,,,,,,3_1_1,n,55
1916,2017/10/16,14:47:32,321,31210101,3,1,2,3,CHECK,0,0,1,2,3,1508132832,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1_2,n,55
1921,2017/10/16,14:48:01,321,31210101,3,1,3,3,CHECK,0,0,1,2,3,1508132853,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_3,F*,55
1926,2017/10/16,14:48:12,321,31210101,3,1,4,3,CHECK,0,0,1,2,3,1508132882,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_4,F*,55
1931,2017/10/16,14:48:55,321,31210101,3,1,5,3,CHECK,0,0,1,2,3,1508132894,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_5,F*,55
1936,2017/10/16,14:49:17,341,31210101,3,2,1,3,CHECK,0,0,1,4,3,1508132939,1,f,0,0,1,0,1,2,1,,,,,,,,,,,3_2_1,n,55
1946,2017/10/16,14:50:17,321,31210101,3,2,2,5,CHECK,0,0,1,2,3,1508132964,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_2,F*,55
1951,2017/10/16,14:50:26,321,31210101,3,2,3,3,CHECK,0,0,1,2,3,1508133017,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_3,F*,55
1956,2017/10/16,14:50:39,321,31210101,3,2,4,3,CHECK,0,0,1,2,3,1508133027,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_4,F*,55
1961,2017/10/16,14:50:49,321,31210101,3,2,5,3,CHECK,0,0,1,2,3,1508133040,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2_5,F*,55
1966,2017/10/16,14:52:26,145,31210101,3,3,1,3,CHECK,0,0,5,4,1,1508133131,1,f,0,0,1,1,0,2,1,,,,,,,,,,F*,3_3_1,F*,55
1994,2017/10/16,14:59:41,521,31210101,3,3,2,3,CHECK,0,0,1,2,5,1508133569,1,f,0,0,1,0,0,1,1,,,,,,,,,,,3_3_2,n,55
2030,2017/10/16,15:01:08,321,31210101,3,3,3,3,CHECK,0,0,1,2,3,1508133625,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_3,n,55
2035,2017/10/16,15:01:18,321,31210101,3,3,4,3,CHECK,0,0,1,2,3,1508133668,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3_4,s,55
2040,2017/10/16,15:01:29,321,31210101,3,3,5,3,CHECK,0,0,1,2,3,1508133679,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3_5,n,55
2807,2017/10/30,14:34:51,321,31210101,4,1,1,3,CHECK,0,0,1,2,3,1509341669,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,55
2813,2017/10/30,14:35:01,321,31210101,4,1,2,3,CHECK,0,0,1,2,3,1509341692,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_2,F*,55
2821,2017/10/30,14:35:15,321,31210101,4,1,3,5,CHECK,0,0,1,2,3,1509341701,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_1_3,n,55
2827,2017/10/30,14:35:29,321,31210101,4,1,4,3,CHECK,0,0,1,2,3,1509341716,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_1_4,r,55
2833,2017/10/30,14:35:39,321,31210101,4,1,5,3,CHECK,0,0,1,2,3,1509341730,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_1_5,r,55
2839,2017/10/30,14:36:05,321,31210101,4,2,1,3,CHECK,0,0,1,2,3,1509341743,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_1,n,55
2847,2017/10/30,14:36:17,321,31210101,4,2,2,5,CHECK,0,0,1,2,3,1509341766,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_2,n,55
2853,2017/10/30,14:36:25,321,31210101,4,2,3,3,CHECK,0,0,1,2,3,1509341778,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_3,n,55
2861,2017/10/30,14:36:39,321,31210101,4,2,4,5,CHECK,0,0,1,2,3,1509341786,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_2_4,n,55
2869,2017/10/30,14:36:48,321,31210101,4,2,5,5,CHECK,0,0,1,2,3,1509341800,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_2_5,r,55
2875,2017/10/30,14:37:00,453,31210101,4,3,1,3,CHECK,0,0,3,5,4,1509341811,1,f,0,0,1,1,1,3,1,,,,,,,,,r,,4_3_1,r,55
2932,2017/10/30,14:38:31,325,31210101,4,3,2,11,CHECK,0,0,5,2,3,1509341890,1,f,0,0,1,0,0,1,1,,,,,,,,,,,4_3_2,n,55
2943,2017/10/30,14:38:47,321,31210101,4,3,3,5,CHECK,0,0,1,2,3,1509341916,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_3_3,n,55
2951,2017/10/30,14:38:59,321,31210101,4,3,4,5,CHECK,0,0,1,2,3,1509341928,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_3_4,n,55
2957,2017/10/30,14:39:10,321,31210101,4,3,5,3,CHECK,0,0,1,2,3,1509341940,1,s,1,1,1,1,1,5,1,,,,,,,,,,,4_3_5,n,55
1586,2017/11/06,14:32:47,321,31210101,5,1,1,5,CHECK,0,0,1,2,3,1509946351,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_1,n,55
1592,2017/11/06,14:32:56,321,31210101,5,1,2,3,CHECK,0,0,1,2,3,1509946368,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_2,F*,55
1598,2017/11/06,14:33:09,321,31210101,5,1,3,3,CHECK,0,0,1,2,3,1509946376,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_3,F*,55
1604,2017/11/06,14:33:18,321,31210101,5,1,4,3,CHECK,0,0,1,2,3,1509946390,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_4,F*,55
1612,2017/11/06,14:33:29,321,31210101,5,1,5,5,CHECK,0,0,1,2,3,1509946399,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_5,r,55
1620,2017/11/06,14:33:44,321,31210101,5,2,1,5,CHECK,0,0,1,2,3,1509946412,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_1,F*,55
1626,2017/11/06,14:33:52,321,31210101,5,2,2,3,CHECK,0,0,1,2,3,1509946425,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_2,F*,55
1632,2017/11/06,14:34:06,321,31210101,5,2,3,3,CHECK,0,0,1,2,3,1509946433,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_3,n,55
1638,2017/11/06,14:34:16,321,31210101,5,2,4,3,CHECK,0,0,1,2,3,1509946447,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_2_4,n,55
1644,2017/11/06,14:34:30,321,31210101,5,2,5,3,CHECK,0,0,1,2,3,1509946457,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_5,r,55
1652,2017/11/06,14:34:57,321,31210101,5,3,1,5,CHECK,0,0,1,2,3,1509946472,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_1,n,55
1658,2017/11/06,14:35:09,321,31210101,5,3,2,3,CHECK,0,0,1,2,3,1509946498,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_2,r,55
1666,2017/11/06,14:35:17,321,31210101,5,3,3,5,CHECK,0,0,1,2,3,1509946510,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_3,r,55
1672,2017/11/06,14:35:27,321,31210101,5,3,4,3,CHECK,0,0,1,2,3,1509946517,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_4,r,55
1680,2017/11/06,14:35:48,321,31210101,5,3,5,5,CHECK,0,0,1,2,3,1509946528,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_5,r,55
1115,2017/10/09,14:57:49,526,31410066,2,1,1,3,CHECK,0,0,6,2,5,1507528641,1,f,0,0,1,1,0,2,1,,,,,,,,,,F*,2_1_1,F*,15
1130,2017/10/09,14:58:17,521,31410066,2,1,2,5,CHECK,0,0,1,2,5,1507528683,1,f,0,0,1,1,1,3,1,,,,,,,,,,,2_1_2,n,15
1142,2017/10/09,14:58:34,342,31410066,2,1,3,7,CHECK,0,0,2,4,3,1507528702,1,f,0,1,0,1,1,3,1,,,,,,,,,,,2_1_3,n,15
1154,2017/10/09,14:58:59,321,31410066,2,1,4,3,CHECK,0,0,1,2,3,1507528727,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_4,F*,15
1161,2017/10/09,14:59:16,321,31410066,2,1,5,5,CHECK,0,0,1,2,3,1507528740,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_5,n,15
1166,2017/10/09,14:59:37,346,31410066,2,2,1,3,CHECK,0,0,6,4,3,1507528758,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_2_1,F*,15
1187,2017/10/09,15:00:17,326,31410066,2,2,2,9,CHECK,0,0,6,2,3,1507528794,1,f,0,1,1,1,0,3,1,,,,,,,,,,,2_2_2,n,15
1200,2017/10/09,15:00:40,321,31410066,2,2,3,3,CHECK,0,0,1,2,3,1507528828,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2_3,F*,15
1205,2017/10/09,15:00:49,326,31410066,2,2,4,3,CHECK,0,0,6,2,3,1507528841,1,f,0,1,1,1,0,3,1,,,,,,,,,,F*,2_2_4,F*,15
1215,2017/10/09,15:01:10,321,31410066,2,2,5,3,CHECK,0,0,1,2,3,1507528862,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,2_2_5,s,15
1224,2017/10/09,15:01:35,125,31410066,2,3,1,7,CHECK,0,0,5,2,1,1507528873,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,2_3_1,F*,15
1246,2017/10/09,15:02:25,562,31410066,2,3,2,3,CHECK,0,0,2,6,5,1507528935,1,f,0,0,1,1,0,2,1,,,,,,,,s,,,2_3_2,s,15
1263,2017/10/09,15:02:51,321,31410066,2,3,3,7,CHECK,0,0,1,2,3,1507528955,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_3,n,15
1268,2017/10/09,15:03:00,321,31410066,2,3,4,3,CHECK,0,0,1,2,3,1507528971,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_4,r,15
1275,2017/10/09,15:03:15,321,31410066,2,3,5,5,CHECK,0,0,1,2,3,1507528981,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3_5,n,15
1282,2017/10/09,14:49:00,321,31410170,2,1,1,5,CHECK,0,0,1,2,3,1507528122,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_1,r,45
1287,2017/10/09,14:49:16,321,31410170,2,1,2,3,CHECK,0,0,1,2,3,1507528142,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_2,r,45
1292,2017/10/09,14:49:30,321,31410170,2,1,3,3,CHECK,0,0,1,2,3,1507528157,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,45
1297,2017/10/09,14:49:41,321,31410170,2,1,4,3,CHECK,0,0,1,2,3,1507528170,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,45
1302,2017/10/09,14:49:56,321,31410170,2,1,5,3,CHECK,0,0,1,2,3,1507528182,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,45
1307,2017/10/09,14:50:15,321,31410170,2,2,1,3,CHECK,0,0,1,2,3,1507528199,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,45
1312,2017/10/09,14:50:28,321,31410170,2,2,2,3,CHECK,0,0,1,2,3,1507528216,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,45
1317,2017/10/09,14:50:39,321,31410170,2,2,3,3,CHECK,0,0,1,2,3,1507528229,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,45
1322,2017/10/09,14:50:51,321,31410170,2,2,4,3,CHECK,0,0,1,2,3,1507528239,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,45
1327,2017/10/09,14:51:02,321,31410170,2,2,5,3,CHECK,0,0,1,2,3,1507528252,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,45
1332,2017/10/09,14:51:40,213,31410170,2,3,1,3,CHECK,0,0,3,1,2,1507528265,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_1,F*,45
1337,2017/10/09,14:51:57,213,31410170,2,3,2,3,CHECK,0,0,3,1,2,1507528300,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_2,F*,45
1342,2017/10/09,14:52:13,213,31410170,2,3,3,3,CHECK,0,0,3,1,2,1507528318,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_3,F*,45
1347,2017/10/09,14:52:27,213,31410170,2,3,4,3,CHECK,0,0,3,1,2,1507528334,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_4,F*,45
1352,2017/10/09,14:52:44,213,31410170,2,3,5,3,CHECK,0,0,3,1,2,1507528347,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_5,F*,45
2963,2017/10/30,14:43:46,321,31410170,4,1,1,3,CHECK,0,0,1,2,3,1509342212,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_1,F*,45
2969,2017/10/30,14:44:06,341,31410170,4,1,2,3,CHECK,0,0,1,4,3,1509342236,1,f,0,0,1,0,1,2,1,,,,,,,,,,F*,4_1_2,F*,45
2979,2017/10/30,14:44:43,321,31410170,4,1,3,3,CHECK,0,0,1,2,3,1509342273,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_3,F*,45
2985,2017/10/30,14:44:58,321,31410170,4,1,4,3,CHECK,0,0,1,2,3,1509342284,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_4,F*,45
2991,2017/10/30,14:45:08,321,31410170,4,1,5,3,CHECK,0,0,1,2,3,1509342299,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_1_5,F*,45
2997,2017/10/30,14:45:22,321,31410170,4,2,1,3,CHECK,0,0,1,2,3,1509342311,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_1,F*,45
3003,2017/10/30,14:45:34,321,31410170,4,2,2,3,CHECK,0,0,1,2,3,1509342323,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_2,F*,45
3009,2017/10/30,14:45:44,321,31410170,4,2,3,3,CHECK,0,0,1,2,3,1509342334,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_3,F*,45
3015,2017/10/30,14:45:56,321,31410170,4,2,4,3,CHECK,0,0,1,2,3,1509342344,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_4,F*,45
3021,2017/10/30,14:46:05,321,31410170,4,2,5,3,CHECK,0,0,1,2,3,1509342357,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,4_2_5,F*,45
3027,2017/10/30,14:46:26,453,31410170,4,3,1,3,CHECK,0,0,3,5,4,1509342374,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,4_3_1,F*,45
3049,2017/10/30,14:48:03,321,31410170,4,3,2,3,CHECK,0,0,1,2,3,1509342471,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_2,r,45
3055,2017/10/30,14:48:12,321,31410170,4,3,3,3,CHECK,0,0,1,2,3,1509342484,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_3,r,45
3061,2017/10/30,14:48:24,324,31410170,4,3,4,3,CHECK,0,0,4,2,3,1509342493,1,f,0,1,0,1,1,3,1,,,,,,,,,r,,4_3_4,r,45
3070,2017/10/30,14:48:47,321,31410170,4,3,5,3,CHECK,0,0,1,2,3,1509342513,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,4_3_5,r,45
1686,2017/11/06,14:43:56,321,31410170,5,1,1,3,CHECK,0,0,1,2,3,1509947012,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_1,F*,45
1694,2017/11/06,14:44:09,321,31410170,5,1,2,5,CHECK,0,0,1,2,3,1509947038,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_1_2,n,45
1700,2017/11/06,14:44:20,321,31410170,5,1,3,3,CHECK,0,0,1,2,3,1509947050,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_1_3,r,45
1706,2017/11/06,14:44:34,321,31410170,5,1,4,3,CHECK,0,0,1,2,3,1509947061,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_4,F*,45
1712,2017/11/06,14:44:44,321,31410170,5,1,5,3,CHECK,0,0,1,2,3,1509947075,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_1_5,F*,45
1718,2017/11/06,14:45:07,321,31410170,5,2,1,3,CHECK,0,0,1,2,3,1509947087,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,5_2_1,F*,45
1724,2017/11/06,14:45:16,321,31410170,5,2,2,3,CHECK,0,0,1,2,3,1509947108,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_2,r,45
1730,2017/11/06,14:45:24,321,31410170,5,2,3,3,CHECK,0,0,1,2,3,1509947117,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_3,r,45
1736,2017/11/06,14:45:36,321,31410170,5,2,4,3,CHECK,0,0,1,2,3,1509947125,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_2_4,r,45
1742,2017/11/06,14:45:54,341,31410170,5,2,5,3,CHECK,0,0,1,4,3,1509947137,1,f,0,1,1,1,0,3,1,,,,,,,,,r,,5_2_5,r,45
1753,2017/11/06,14:46:52,312,31410170,5,3,1,5,CHECK,0,0,2,1,3,1509947163,1,s,1,1,1,1,1,5,1,,,,,,,,,,,5_3_1,n,45
1759,2017/11/06,14:47:11,312,31410170,5,3,2,3,CHECK,0,0,2,1,3,1509947213,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_2,r,45
1765,2017/11/06,14:47:22,312,31410170,5,3,3,3,CHECK,0,0,2,1,3,1509947232,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_3,r,45
1771,2017/11/06,14:47:32,352,31410170,5,3,4,3,CHECK,0,0,2,5,3,1509947243,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,5_3_4,r,45
1780,2017/11/06,14:47:51,312,31410170,5,3,5,3,CHECK,0,0,2,1,3,1509947260,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,5_3_5,r,45
1357,2017/10/09,15:01:57,321,31510087,2,1,1,3,CHECK,0,0,1,2,3,1507528891,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_1,F*,15
1364,2017/10/09,15:02:13,321,31510087,2,1,2,5,CHECK,0,0,1,2,3,1507528918,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_2,n,15
1373,2017/10/09,15:02:34,321,31510087,2,1,3,7,CHECK,0,0,1,2,3,1507528934,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,15
1378,2017/10/09,15:02:53,321,31510087,2,1,4,3,CHECK,0,0,1,2,3,1507528955,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,15
1383,2017/10/09,15:03:08,321,31510087,2,1,5,3,CHECK,0,0,1,2,3,1507528975,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,15
1388,2017/10/09,15:03:26,321,31510087,2,2,1,3,CHECK,0,0,1,2,3,1507528993,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,15
1393,2017/10/09,15:03:40,321,31510087,2,2,2,3,CHECK,0,0,1,2,3,1507529007,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,15
1398,2017/10/09,15:03:54,321,31510087,2,2,3,3,CHECK,0,0,1,2,3,1507529021,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,15
1403,2017/10/09,15:04:07,321,31510087,2,2,4,3,CHECK,0,0,1,2,3,1507529035,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,15
1408,2017/10/09,15:04:20,321,31510087,2,2,5,3,CHECK,0,0,1,2,3,1507529048,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,15
1413,2017/10/09,15:05:00,213,31510087,2,3,1,3,CHECK,0,0,3,1,2,1507529064,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_1,F*,15
1418,2017/10/09,15:05:12,213,31510087,2,3,2,3,CHECK,0,0,3,1,2,1507529101,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_2,F*,15
1423,2017/10/09,15:05:23,213,31510087,2,3,3,3,CHECK,0,0,3,1,2,1507529113,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_3,F*,15
1428,2017/10/09,15:05:38,213,31510087,2,3,4,3,CHECK,0,0,3,1,2,1507529124,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3_4,r,15
1433,2017/10/09,15:05:52,213,31510087,2,3,5,3,CHECK,0,0,3,1,2,1507529139,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_5,F*,15
1438,2017/10/09,15:00:24,321,31510074,2,1,1,3,CHECK,0,0,1,2,3,1507528805,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_1,n,60
1443,2017/10/09,15:00:47,321,31510074,2,1,2,3,CHECK,0,0,1,2,3,1507528825,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1_2,n,60
1448,2017/10/09,15:01:01,321,31510074,2,1,3,3,CHECK,0,0,1,2,3,1507528848,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_3,r,60
1453,2017/10/09,15:01:17,321,31510074,2,1,4,3,CHECK,0,0,1,2,3,1507528862,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,60
1458,2017/10/09,15:01:32,321,31510074,2,1,5,3,CHECK,0,0,1,2,3,1507528878,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_5,r,60
1463,2017/10/09,15:01:53,321,31510074,2,2,1,3,CHECK,0,0,1,2,3,1507528895,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,60
